retailer,month,revenue,gmv,margin,cpa_in,transactions,cb_total
Perfumy.pl,202604,0.0,0.0,0.0,0.0,1,0.0
Petkarma,202603,8.72,174.38,0.0,5.0,1,8.72
Petkarma,202605,64.76,1295.15,0.0,5.0,1,64.76
Philips,202602,14.42,412.04,12.69,3.5,4,1.73
Play,202604,116.64,49.76,-0.61,234.4,2,117.25
Przyjaciele Kawy,202512,580.84,7553.2,-1.41,7.7,1,582.25
Przyjaciele Kawy,202601,229.2,8751.99,-0.6,2.6,3,229.8
Przyjaciele Kawy,202602,2088.25,38007.01,1280.49,5.5,8,807.76
Przyjaciele Kawy,202603,3971.25,89444.04,3423.63,4.4,17,547.62
Przyjaciele Kawy,202604,888.26,18375.52,741.78,4.8,5,146.48
Puma,202512,155.01,2583.46,0.0,6.0,1,155.01
Puma,202601,155.08,2584.69,0.0,6.0,1,155.08
Pyszne.pl,202506,1.22,40.8,0.0,3.0,1,1.22
Pyszne.pl,202510,2.39,79.62,-5.66,3.0,3,8.05
Pyszne.pl,202511,2.81,75.42,-16.87,3.7,5,19.68
Pyszne.pl,202512,7.19,179.75,-31.48,4.0,8,38.66
Pyszne.pl,202601,16.9,422.66,-65.21,4.0,25,82.11
Pyszne.pl,202602,14.45,481.41,-128.37,3.0,20,142.82
Pyszne.pl,202603,16.53,551.06,-91.34,3.0,31,107.87
Pyszne.pl,202604,26.24,874.22,-94.39,3.0,46,120.62
Pyszne.pl,202605,2.89,96.53,1.49,3.0,3,1.41
RTV Euro AGD,202510,3.5,58.34,2.92,6.0,1,0.58
RTV Euro AGD,202511,147.09,6813.21,-249.06,2.2,18,396.15
RTV Euro AGD,202512,305.37,14277.58,-245.89,2.1,29,551.26
RTV Euro AGD,202601,18.7,890.62,-85.66,2.1,7,104.36
RTV Euro AGD,202602,306.72,12438.7,-59.69,2.5,17,366.41
RTV Euro AGD,202603,169.5,9044.33,-76.41,1.9,24,245.91
RTV Euro AGD,202604,117.62,6722.18,-14.64,1.7,25,132.26
RTV Euro AGD,202605,36.11,2063.46,12.02,1.7,5,24.09
Radisson Hotels,202512,61.18,764.79,-0.08,8.0,2,61.26
Regatta,202602,519.64,5239.91,-4.35,9.9,12,523.99
Regatta,202605,3.91,78.13,0.0,5.0,1,3.91
Remix,202603,4.61,102.42,0.0,4.5,1,4.61
Renee,202512,13.06,217.75,-0.07,6.0,1,13.13
Renee,202602,22.97,382.84,0.38,6.0,2,22.59
Renee,202603,32.3,538.31,0.32,6.0,3,31.98
Renee,202604,1.9,31.67,-0.91,6.0,2,2.81
Samsung,202512,81.87,1637.36,32.75,5.0,1,49.12
Samsung,202602,77.57,2585.69,0.0,3.0,1,77.57
Samsung,202603,11.92,238.4,-23.84,5.0,1,35.76
Samsung,202604,28.32,566.36,11.33,5.0,1,16.99
Senpo.pl,202512,621.99,6219.85,-0.71,10.0,3,622.7
Senpo.pl,202601,720.25,8208.24,-102.64,8.8,4,822.89
Senpo.pl,202602,932.28,9322.69,0.34,10.0,7,931.94
Sephora,202507,1.02,39.44,-0.8,2.6,1,1.82
Sephora,202510,0.48,18.55,-0.91,2.6,1,1.39
Sephora,202511,9.78,235.48,-15.61,4.2,7,25.39
Sephora,202512,4.73,182.2,-1.81,2.6,3,6.54
Sephora,202601,0.92,35.5,-0.85,2.6,1,1.78
Sephora,202602,9.75,195.05,0.0,5.0,2,9.75
Sephora,202603,5.85,270.92,0.0,2.2,2,5.85
Sephora,202604,1.72,34.49,0.0,5.0,1,1.72
Sferis,202601,84.13,3643.43,25.68,2.3,1,58.45
Sferis,202602,15.18,948.47,-32.27,1.6,1,47.45
Sferis,202603,37.18,2071.59,4.17,1.8,3,33.01
Sferis,202604,9.72,388.67,3.46,2.5,1,6.26
Shark,202602,308.55,3085.54,185.13,10.0,1,123.42
Shark,202604,481.98,9639.59,341.05,5.0,3,140.94
SHEIN,202509,0.19,18.67,-1.68,1.0,1,1.87
SHEIN,202510,2.78,277.13,-4.68,1.0,3,7.45
SHEIN,202511,47.65,906.11,-84.38,5.3,23,132.04
SHEIN,202512,38.09,952.31,12.08,4.0,16,26.01
SHEIN,202601,2.54,241.07,0.34,1.1,12,2.2
SHEIN,202602,21.85,1006.76,1.18,2.2,21,20.66
SHEIN,202603,66.69,1261.8,9.8,5.3,50,56.89
SHEIN,202604,57.98,699.38,-26.33,8.3,34,84.31
SHEIN,202605,6.06,121.4,0.61,5.0,8,5.46
Sinsay,202506,3.27,40.89,0.67,8.0,1,2.6
SkyShowtime,202603,305.67,148.97,-300.08,205.2,23,605.75
SkyShowtime,202604,14.05,23.41,0.0,60.0,2,14.05
SkyShowtime,202605,7.1,11.83,0.0,60.0,1,7.1
SportStyleStory,202512,57.64,960.69,-0.29,6.0,2,57.93
SportStyleStory,202601,31.8,530.01,-0.02,6.0,1,31.82
SportStyleStory,202602,179.34,2989.15,2.97,6.0,3,176.37
SportStyleStory,202603,1008.19,16803.35,8.79,6.0,6,999.4
SportStyleStory,202605,6.62,110.29,0.0,6.0,1,6.62
Streetstyle24,202512,59.12,854.39,0.17,6.9,1,58.95
Streetstyle24,202602,1079.82,15604.29,143.56,6.9,7,936.25
Streetstyle24,202603,231.13,3340.0,125.9,6.9,3,105.22
Streetstyle24,202604,7.01,101.25,0.93,6.9,1,6.08
Stylevana,202604,11.88,165.58,7.98,7.2,2,3.9
Sun & Snow,202603,13.64,194.79,4.87,7.0,1,8.76
Tagomago,202510,0.71,18.53,-0.0,3.8,1,0.71
Tagomago,202511,2.91,54.14,-0.34,5.4,1,3.25
Temu,202508,4.44,233.52,0.1,1.9,10,4.34
Temu,202509,0.0,621.78,0.0,0.0,15,0.0
Temu,202510,203.57,1463.46,-61.27,13.9,62,264.84
Temu,202511,1420.78,8540.78,512.89,16.6,360,907.89
Temu,202512,1627.73,8877.83,506.69,18.3,441,1121.04
Temu,202601,1517.43,10396.31,-210.0,14.6,518,1727.43
Temu,202602,1365.53,9921.42,205.24,13.8,488,1160.29
Temu,202603,1996.82,12753.41,35.82,15.7,637,1961.0
Temu,202604,1337.96,9032.47,50.52,14.8,490,1287.44
Temu,202605,336.59,2288.04,24.11,14.7,133,312.48
Tescoma,202605,67.32,961.78,33.66,7.0,1,33.66
Teufel,202512,68.53,1713.3,0.0,4.0,1,68.53
Teufel,202602,26.56,663.87,0.0,4.0,1,26.55
Top Secret,202506,0.47,6.65,0.0,7.0,1,0.46
Top Secret,202511,49.1,701.5,0.0,7.0,1,49.1
Trip.com,202602,24.87,835.03,18.87,3.0,3,6.0
Trip.com,202603,80.93,3849.61,40.63,2.1,7,40.3
Trip.com,202604,134.9,2452.49,0.0,5.5,2,0.0
Ucando,202603,6.09,152.21,0.0,4.0,1,6.09
Udemy,202512,1.1,5.52,-0.0,19.9,1,1.1
Udemy,202603,4.98,16.65,0.0,29.9,3,4.98
Udemy,202604,1.27,12.75,0.0,10.0,2,1.27
Van Graaf,202512,241.15,2679.42,-0.58,9.0,1,241.73
Van Graaf,202601,42.84,476.04,-0.02,9.0,1,42.86
Van Graaf,202602,57.9,643.34,10.47,9.0,1,47.43
Van Graaf,202603,57.15,476.28,24.3,12.0,1,32.85
Van Graaf,202604,252.2,2802.25,205.03,9.0,1,47.17
Victoria's Secret,202512,0.4,9.93,0.05,4.0,1,0.35
VidaXL,202604,2.29,78.95,0.0,2.9,1,2.29
Vision Express,202508,1.55,51.75,-1.55,3.0,1,3.1
Vision Express,202512,1.72,28.65,0.23,6.0,1,1.49
Vision Express,202602,1.62,26.96,0.0,6.0,1,1.62
Vision Express,202603,1.57,26.19,0.0,6.0,1,1.57
Vision Express,202604,1.74,58.0,-1.74,3.0,1,3.48
Vobis,202512,65.44,1308.87,-0.33,5.0,1,65.77
Vobis,202601,176.26,3525.12,-0.09,5.0,1,176.35
Vobis,202603,20.11,402.22,0.18,5.0,1,19.93
Vobis,202604,191.85,5481.31,144.85,3.5,1,47.0
Vobis,202605,34.43,1377.05,2.75,2.5,2,31.68
Volcano,202512,233.63,3337.6,-0.57,7.0,1,234.2
Wolt,202507,0.0,10.67,0.0,0.0,1,0.0
Wolt,202510,3.71,24.67,-1.23,15.0,1,4.94
Wolt,202511,0.0,23.6,0.0,0.0,1,0.0
Wolt,202602,5.0,12.09,0.02,41.4,1,4.98
Your KAYA,202604,4.46,63.66,0.0,7.0,1,4.46
Yves Rocher,202512,2.46,49.21,-0.0,5.0,1,2.46
Yves Rocher,202603,2.55,51.08,0.0,5.0,1,2.55
Lounge by Zalando,202508,12.15,326.16,-7.42,3.7,9,19.57
Lounge by Zalando,202509,4.4,113.66,-2.42,3.9,3,6.82
Lounge by Zalando,202510,30.04,500.7,-2.02,6.0,8,32.06
Lounge by Zalando,202511,31.88,680.66,-10.89,4.7,11,42.77
Lounge by Zalando,202512,42.04,918.64,9.52,4.6,14,32.52
Lounge by Zalando,202601,114.09,2108.65,39.48,5.4,19,74.61
Lounge by Zalando,202602,101.64,1890.11,37.11,5.4,29,64.53
Lounge by Zalando,202603,93.67,1813.66,-2.28,5.2,31,95.95
Lounge by Zalando,202604,152.33,4448.83,29.58,3.4,58,122.75
Lounge by Zalando,202605,51.62,1715.63,6.73,3.0,18,44.9
Zwieger,202605,14.07,351.77,3.52,4.0,1,10.55
Adidas,202505,0.16,7.9,-0.32,2.0,1,0.47
Adidas,202506,1.2,19.93,0.0,6.0,3,1.2
Adidas,202507,0.8,13.38,0.0,6.0,1,0.8
Adidas,202509,0.4,6.68,0.0,6.0,1,0.4
Adidas,202510,9.24,259.48,-6.11,3.6,4,15.34
Adidas,202511,115.34,3592.7,108.0,3.2,57,7.35
Adidas,202512,0.0,0.24,0.0,0.0,1,0.0
Adidas,202602,3.0,49.98,-13.23,6.0,1,16.22
Adidas,202603,8.12,135.28,0.8,6.0,1,7.32
Adidas,202604,11.88,427.79,2.65,2.8,6,9.23
e-torty,202511,6.21,41.42,0.0,15.0,1,0.0
e-torty,202512,11.95,79.69,4.6,15.0,3,7.35
eSky,202601,76.75,2192.94,-0.0,3.5,1,76.75
eSky,202602,8.33,237.92,0.0,3.5,1,8.33
eSky,202603,17.67,504.88,0.0,3.5,1,17.67
eSky,202604,17.5,500.07,0.0,3.5,1,17.5
eobuwie,202507,0.59,24.54,-1.16,2.4,1,1.75
eobuwie,202510,15.72,625.32,-18.63,2.5,4,34.35
eobuwie,202511,14.65,488.7,-0.54,3.0,5,15.19
eobuwie,202512,22.03,509.37,-1.12,4.3,4,23.15
eobuwie,202601,28.41,569.05,17.3,5.0,7,11.11
eobuwie,202602,2.82,117.54,0.02,2.4,2,2.8
eobuwie,202603,70.56,1447.81,12.56,4.9,18,58.0
eobuwie,202604,35.95,1011.82,12.37,3.6,16,23.58
eobuwie,202605,12.98,365.38,5.36,3.6,7,7.62
home&you,202512,4.79,73.68,3.41,6.5,3,1.38
home&you,202601,23.78,365.87,-0.06,6.5,2,23.84
home&you,202602,72.76,1119.44,7.62,6.5,3,65.14
home&you,202603,42.26,683.98,0.63,6.2,18,41.63
home&you,202604,1.55,38.69,-0.01,4.0,1,1.56
home&you,202605,3.34,83.52,0.0,4.0,2,0.0
iBOOD,202510,0.76,75.89,0.0,1.0,1,0.76
iBOOD,202601,10.55,263.72,9.54,4.0,3,1.0
iBOOD,202602,1.63,81.45,0.0,2.0,1,0.0
iDream,202512,6.21,712.02,-15.15,0.9,2,21.36
iDream,202601,45.09,1038.84,13.92,4.3,1,31.16
iDream,202604,39.29,3508.15,0.0,1.1,3,0.0
iHerb,202511,10.12,127.11,-0.05,8.0,1,10.17
iHerb,202512,2.29,57.46,-2.31,4.0,1,4.6
iHerb,202601,5.76,144.31,-0.02,4.0,2,5.77
iHerb,202602,23.74,297.47,-16.12,8.0,4,39.87
iHerb,202603,14.76,220.41,-11.44,6.7,4,26.2
iHerb,202605,1.04,25.93,-2.85,4.0,1,3.89
iParts,202601,10.11,288.77,0.0,3.5,1,10.11
iParts,202604,1.27,36.21,-0.0,3.5,1,1.27
lionelo,202512,322.32,5371.91,1.44,6.0,5,320.88
lionelo,202601,726.57,12109.15,2.13,6.0,13,724.44
lionelo,202602,1479.85,24663.82,669.24,6.0,14,810.61
zooplus,202507,0.76,75.97,0.76,1.0,1,0.0
zooplus,202508,502.37,19712.85,107.57,2.5,92,394.8
zooplus,202509,914.62,37628.18,-1400.05,2.4,169,2314.67
zooplus,202510,374.82,18279.8,-136.21,2.1,73,511.03
zooplus,202511,20.6,1093.53,-8.95,1.9,23,29.55
zooplus,202512,119.91,4303.71,-189.04,2.8,21,308.96
zooplus,202601,472.78,19080.07,91.04,2.5,33,381.74
zooplus,202602,994.27,35827.06,197.01,2.8,48,797.26
zooplus,202603,32.35,2442.44,-26.61,1.3,41,58.96
zooplus,202604,15.58,1275.57,-41.78,1.2,30,57.36
zooplus,202605,5.1,468.42,0.39,1.1,8,4.71
Świat supli,202512,2.9,57.96,0.0,5.0,1,2.9
Świat supli,202601,3.87,77.43,0.0,5.0,2,3.87
Świat supli,202602,101.64,2032.92,0.0,5.0,4,101.64
Świat supli,202603,27.68,553.56,0.0,5.0,1,27.68
