retailer,month,revenue,gmv,margin,cpa_in,transactions,cb_total
Cocolita,202601,232.52,4426.29,136.45,5.3,3,96.07
Cocolita,202603,8.34,119.11,-4.17,7.0,3,12.51
Cocolita,202604,0.39,8.63,0.09,4.5,1,0.3
Colorland,202512,4.92,42.82,0.0,11.5,1,0.0
Colorland,202601,2.44,33.3,-4.22,7.3,2,6.66
Colorland,202602,1.1,9.54,-0.81,11.5,1,1.91
Crocs,202603,34.64,865.98,0.0,4.0,2,34.64
Cropp,202601,8.05,125.0,0.55,6.4,7,7.5
Cropp,202602,10.07,156.38,0.69,6.4,3,9.38
Cropp,202603,3.28,50.99,0.0,6.4,1,0.0
Cropp,202604,7.53,116.91,6.5,6.4,2,1.03
Cyfrowe.pl,202601,226.9,10804.78,10.8,2.1,3,216.1
Cyfrowe.pl,202602,18.75,2678.44,-34.82,0.7,1,53.57
Cyfrowe.pl,202603,3.54,168.41,0.31,2.1,4,3.23
Cyfrowe.pl,202604,3.42,162.63,1.2,2.1,3,2.22
DHL,202604,1.4,20.67,0.7,6.8,2,0.7
Dstreet,202511,79.57,884.13,0.0,9.0,1,79.57
Dstreet,202601,102.83,1142.5,0.0,9.0,3,102.83
Dstreet,202602,85.88,954.27,0.0,9.0,2,85.88
Dstreet,202603,214.27,2380.83,0.0,9.0,5,214.27
Dstreet,202604,242.34,2692.66,0.0,9.0,3,242.34
Decathlon,202510,18.85,837.75,-36.61,2.3,3,55.46
Decathlon,202511,15.01,607.15,-51.5,2.5,5,66.51
Decathlon,202512,0.59,26.11,-3.33,2.3,1,3.92
Decathlon,202601,0.64,28.51,-0.78,2.3,1,1.43
Decathlon,202602,2.43,107.84,0.27,2.3,1,2.16
Decathlon,202603,1.16,51.63,-4.0,2.3,1,5.16
Decathlon,202604,15.73,698.99,-24.44,2.2,10,40.16
Decathlon,202605,0.58,26.0,0.06,2.2,2,0.52
DeLonghi,202601,3.05,50.81,-0.0,6.0,1,3.05
DeLonghi,202603,72.34,1205.73,3.15,6.0,4,69.19
Dermacol,202512,2.55,63.66,-0.0,4.0,1,2.55
Dermacol,202601,5.68,141.98,0.0,4.0,1,5.68
Dermacol,202602,9.88,246.96,0.0,4.0,1,9.88
Dermacol,202603,9.82,245.56,-19.65,4.0,1,29.47
Diablo Chairs,202512,159.51,2453.98,0.0,6.5,3,159.51
Diablo Chairs,202602,333.11,7402.38,0.0,4.5,3,333.1
Diablo Chairs,202603,182.83,4062.89,0.0,4.5,1,182.83
Douglas,202511,6.02,115.84,0.49,5.2,2,5.53
Douglas,202512,1.36,26.11,0.0,5.2,1,1.36
Douglas,202602,3.94,49.22,0.98,8.0,1,2.95
Douglas,202603,53.12,527.47,-16.87,10.1,5,69.99
Douglas,202604,1.18,23.62,-0.59,5.0,1,1.77
Douglas,202605,9.8,122.47,2.45,8.0,2,7.35
Drogeria.pl,202512,15.97,354.76,-0.03,4.5,2,16.0
Drogeria.pl,202601,136.48,3032.81,-0.31,4.5,2,136.79
Drogeria.pl,202602,18.46,410.14,3.27,4.5,2,15.19
Drogeria.pl,202603,38.75,553.48,13.37,7.0,2,25.38
Drogeria.pl,202604,85.59,1902.01,38.42,4.5,1,47.17
Dyson,202510,0.0,0.0,0.0,0.0,1,0.0
Dyson,202512,0.0,0.0,0.0,0.0,1,0.0
Dyson,202601,0.0,0.0,0.0,0.0,1,0.0
Dyson,202605,14.62,365.39,0.0,4.0,1,14.62
eBilet,202512,1.41,103.39,0.37,1.4,1,1.04
eBilet,202604,1.25,155.61,-0.32,0.8,2,1.57
eBilet,202605,0.2,24.64,-0.05,0.8,1,0.25
EMP,202604,1.96,49.04,0.0,4.0,1,1.96
ESET,202602,7.69,76.88,0.0,10.0,1,0.0
ESET,202605,6.84,68.42,-0.0,10.0,1,6.84
Electrolux,202512,82.12,2053.02,-0.42,4.0,1,82.54
Electrolux,202601,23.0,575.08,-0.06,4.0,1,23.06
Electrolux,202602,554.45,13861.14,0.71,4.0,4,553.74
Electrolux,202603,734.39,14106.98,185.4,5.2,3,548.99
Electrolux,202604,667.41,16685.23,-0.67,4.0,2,668.08
Eltrox,202512,20.99,466.54,-0.0,4.5,1,21.0
Eltrox,202601,84.51,1877.94,0.0,4.5,1,84.51
Eltrox,202602,39.05,867.78,0.0,4.5,1,39.05
Eltrox,202604,145.08,3223.91,-0.0,4.5,1,145.08
Empik,202508,31.5,2077.47,-56.53,1.5,5,88.03
Empik,202509,6.71,205.4,-6.99,3.3,11,13.7
Empik,202510,3.04,66.05,-3.92,4.6,3,6.96
Empik,202511,29.66,1364.41,-102.74,2.2,18,132.4
Empik,202512,12.55,369.0,-22.11,3.4,18,34.66
Empik,202601,62.88,4133.12,-366.13,1.5,40,429.01
Empik,202602,45.25,4475.91,-44.26,1.0,6,89.51
Empik,202603,70.21,3244.78,-484.54,2.2,49,554.75
Empik,202604,54.26,2941.51,-165.38,1.8,58,219.64
Empik,202605,9.09,451.46,1.82,2.0,10,7.27
Endo,202602,45.0,499.96,0.0,9.0,1,45.0
Endo,202604,64.91,721.26,0.0,9.0,1,64.91
Erli,202510,5.25,164.15,0.0,3.2,1,5.25
Erli,202511,0.57,17.16,0.0,3.3,2,0.57
Erli,202512,488.13,15265.48,0.0,3.2,14,488.13
Erli,202601,622.01,18773.03,0.0,3.3,13,622.01
Erli,202602,794.2,25376.01,0.0,3.1,23,794.2
Erli,202603,39.06,1192.56,0.0,3.3,20,39.06
Erli,202604,41.68,1367.96,2.25,3.0,74,39.43
Erli,202605,23.95,747.08,0.75,3.2,35,23.2
Estro,202602,5.02,71.75,0.0,7.0,1,0.0
Estro,202603,36.28,518.3,0.0,7.0,1,36.28
Eurofirany,202601,101.26,2031.72,-0.32,5.0,2,101.59
Euroflorist,202603,3.01,25.06,0.03,12.0,1,2.98
Eveline,202512,115.89,1655.53,-0.58,7.0,2,116.47
Eveline,202601,125.12,1787.48,-0.33,7.0,1,125.45
Eveline,202602,253.41,3620.15,0.53,7.0,4,252.88
Eveline,202603,1.7,24.33,0.02,7.0,1,1.68
Eveline,202604,1.73,24.64,-2.98,7.0,1,4.71
Eveline,202605,4.55,65.12,0.64,7.0,4,3.91
Eventim,202601,2.81,140.31,2.14,2.0,1,0.67
Eventim,202603,7.02,350.93,0.0,2.0,4,7.02
Eventim,202604,0.35,17.5,0.0,2.0,1,0.35
Fera,202601,1.1,27.51,0.0,4.0,1,1.1
Fera,202605,1.08,26.86,0.0,4.0,1,1.08
Fielmann,202602,21.2,265.07,0.0,8.0,3,21.2
Flexispot,202604,17.58,351.66,3.52,5.0,1,14.07
Flixbus,202507,0.09,1.74,0.0,5.0,1,0.09
Flixbus,202512,1.42,47.16,0.0,3.0,4,1.42
